Title: High-cadence Optical Observations of a Normal Type Ia SN 2018kp from its Early Phase
Authors: Lim G., Choi C., Im M., Yoon S.-C., Paek G.S.H., Kim S., Kim J., Sung H.-I., 
         Jeong M., Park B., Paek I., Lee S.-K., Kim Y., Yoon Y., Taak Y.C., Pak S., 
         Ji T.-G., Ahn H., Kang W., Kim T., Ehgamberdiev S., Burhonov O., Mirzaqulov D.
Table: Optical light curve of SN 2018kp without any extinction correction ranging from -32.8 to -5.4 days from B maximum.
================================================================================
Byte-by-byte Description of file: v58n1p031_Table1.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1-11  A11    ---    UT Date   UT Date in 2018
13-21  F9.3   d6     MJD       [58126.31/58283.43] Epoch in Modified Julian
                              date; JD-2400000.5
23-28  F6.2   d      Phase     [-32.85/124.27] Days after the epoch of B-band
                              maximum; t - MJD 58151.161
   30  A1     ---    Filter    Observed band
32-36  F5.2   mag    Mag       [15.78/20.63] AB magnitude without reddening
                              corrections. If Detection = N, the values
                              represents the 5-sigma detection limit.
38-43  F6.2   mag    Magerr    [-99.0/0.39] 1-sigma magnitude error
45-61  A17    ---    Telescope Telescope used for the observation
Feb 12.6473 58161.647   2.49 B 16.68   0.04 DOAO 1.0m         Y
Feb 12.6497 58161.650   2.49 V 16.08   0.04 DOAO 1.0m         Y
Feb 12.6521 58161.652   2.49 R 15.89   0.02 DOAO 1.0m         Y
Feb 13.5571 58162.557   3.40 g 16.38   0.02 LSGT 0.43m        Y
Feb 13.5637 58162.564   3.40 r 15.85   0.02 LSGT 0.43m        Y
Feb 13.5704 58162.570   3.41 i 16.28   0.04 LSGT 0.43m        Y
Feb 13.5859 58162.586   3.42 B 16.77   0.04 DOAO 1.0m         Y
Feb 13.5883 58162.588   3.43 V 16.09   0.04 DOAO 1.0m         Y
Feb 13.5907 58162.591   3.43 R 15.89   0.02 DOAO 1.0m         Y
Feb 13.6454 58162.645   3.48 B 16.85   0.05 SOAO 0.6m         Y
Feb 16.5561 58165.556   6.40 g 16.51   0.02 LSGT 0.43m        Y
Feb 16.5628 58165.563   6.40 r 15.93   0.02 LSGT 0.43m        Y
Feb 16.5694 58165.569   6.41 i 16.41   0.05 LSGT 0.43m        Y
Feb 16.5887 58165.589   6.43 B 16.96   0.04 DOAO 1.0m         Y
Feb 16.5911 58165.591   6.43 V 16.14   0.04 DOAO 1.0m         Y
Feb 16.5935 58165.594   6.43 R 15.97   0.02 DOAO 1.0m         Y
Feb 17.5585 58166.558   7.40 g 16.54   0.01 LSGT 0.43m        Y
Feb 17.5655 58166.566   7.40 r 15.99   0.02 LSGT 0.43m        Y
Feb 17.5725 58166.572   7.41 i 16.54   0.04 LSGT 0.43m        Y
Feb 18.4900 58167.490   8.33 V 16.22   0.05 LOAO 1.0m         Y
Feb 18.4927 58167.493   8.33 R 16.11   0.03 LOAO 1.0m         Y
Feb 19.6255 58168.625   9.46 B 17.14   0.04 DOAO 1.0m         Y
Feb 19.6279 58168.628   9.47 V 16.24   0.04 DOAO 1.0m         Y
Feb 19.6303 58168.630   9.47 R 16.19   0.02 DOAO 1.0m         Y
Feb 19.6762 58168.676   9.52 B 17.16   0.07 SOAO 0.6m         Y
Feb 20.3414 58169.341  10.18 R 16.28   0.03 McD 0.8m          Y
Feb 20.3521 58169.352  10.19 V 16.28   0.05 McD 0.8m          Y
Feb 20.3632 58169.363  10.20 B 17.26   0.04 McD 0.8m          Y
Feb 20.4725 58169.473  10.31 V 16.30   0.05 McD 0.8m          Y
Feb 20.4822 58169.482  10.32 R 16.25   0.04 McD 0.8m          Y
Feb 20.5349 58169.535  10.37 g 16.78   0.02 LSGT 0.43m        Y
Feb 20.5416 58169.542  10.38 r 16.21   0.02 LSGT 0.43m        Y
Feb 20.5483 58169.548  10.39 i 16.79   0.04 LSGT 0.43m        Y
Feb 21.3232 58170.323  11.16 B 17.39   0.04 McD 0.8m          Y
Feb 21.5430 58170.543  11.38 g 16.82   0.02 LSGT 0.43m        Y
Feb 21.5497 58170.550  11.39 r 16.32   0.02 LSGT 0.43m        Y
Feb 21.5564 58170.556  11.40 i 16.83   0.04 LSGT 0.43m        Y
Feb 22.3591 58171.359  12.20 R 16.40   0.03 McD 0.8m          Y
Feb 22.5646 58171.565  12.40 B 17.55   0.05 DOAO 1.0m         Y
Feb 22.5670 58171.567  12.41 V 16.47   0.04 DOAO 1.0m         Y
Feb 22.5694 58171.569  12.41 R 16.40   0.02 DOAO 1.0m         Y
Feb 22.5760 58171.576  12.41 R 16.46   0.03 SOAO 0.6m         Y
Feb 23.2292 58172.229  13.07 R 16.45   0.04 McD 0.8m          Y
Feb 23.2385 58172.239  13.08 V 16.54   0.06 McD 0.8m          Y
Feb 23.6094 58172.609  13.45 B 17.65   0.06 DOAO 1.0m         Y
Feb 23.6118 58172.612  13.45 V 16.55   0.04 DOAO 1.0m         Y
Feb 23.6141 58172.614  13.45 R 16.48   0.03 DOAO 1.0m         Y
Feb 24.3071 58173.307  14.15 R 16.55   0.04 McD 0.8m          Y
Feb 24.3174 58173.317  14.16 V 16.65   0.06 McD 0.8m          Y
Feb 24.3280 58173.328  14.17 B 17.76   0.07 McD 0.8m          Y
Feb 24.4505 58173.450  14.29 V 16.59   0.05 LOAO 1.0m         Y
Feb 24.4532 58173.453  14.29 R 16.49   0.03 LOAO 1.0m         Y
Feb 25.3175 58174.317  15.16 R 16.52   0.04 McD 0.8m          Y
Feb 25.3381 58174.338  15.18 V 16.70   0.06 McD 0.8m          Y
Feb 25.4275 58174.428  15.27 V 16.62   0.04 LOAO 1.0m         Y
Feb 25.4353 58174.435  15.27 R 16.50   0.03 LOAO 1.0m         Y
Feb 25.5737 58174.574  15.41 B 17.94   0.08 SOAO 0.6m         Y
Feb 25.5847 58174.585  15.42 R 16.50   0.03 SOAO 0.6m         Y
Feb 25.5917 58174.592  15.43 B 17.81   0.07 DOAO 1.0m         Y
Feb 25.5941 58174.594  15.43 V 16.71   0.04 DOAO 1.0m         Y
Feb 25.5965 58174.597  15.44 R 16.48   0.03 DOAO 1.0m         Y
Feb 25.6576 58174.658  15.50 B 17.86   0.07 DOAO 1.0m         Y
Feb 25.6599 58174.660  15.50 V 16.68   0.05 DOAO 1.0m         Y
Feb 25.6623 58174.662  15.50 R 16.49   0.03 DOAO 1.0m         Y
Feb 26.1925 58175.193  16.03 R 16.55   0.04 McD 0.8m          Y
Feb 26.2026 58175.203  16.04 B 18.19   0.17 McD 0.8m          Y
Feb 26.3899 58175.390  16.23 V 16.75   0.05 LOAO 1.0m         Y
Feb 26.3926 58175.393  16.23 R 16.56   0.04 LOAO 1.0m         Y
Feb 26.3953 58175.395  16.23 I 16.64   0.03 LOAO 1.0m         Y
Feb 26.5687 58175.569  16.41 B 18.01   0.07 DOAO 1.0m         Y
Feb 26.5711 58175.571  16.41 V 16.75   0.04 DOAO 1.0m         Y
Feb 26.5735 58175.574  16.41 R 16.52   0.03 DOAO 1.0m         Y
Feb 26.5763 58175.576  16.42 B 18.08   0.12 SOAO 0.6m         Y
Feb 26.5872 58175.587  16.43 R 16.50   0.03 SOAO 0.6m         Y
Feb 27.3384 58176.338  17.18 R 16.61   0.04 LOAO 1.0m         Y
Feb 27.3734 58176.373  17.21 V 16.75   0.05 LOAO 1.0m         Y
Feb 27.3761 58176.376  17.22 R 16.60   0.04 LOAO 1.0m         Y
Feb 27.3788 58176.379  17.22 I 16.68   0.03 LOAO 1.0m         Y
Feb 27.5358 58176.536  17.37 g 17.37   0.06 LSGT 0.43m        Y
Feb 27.5424 58176.542  17.38 r 16.53   0.04 LSGT 0.43m        Y
Feb 27.5491 58176.549  17.39 i 16.74   0.06 LSGT 0.43m        Y
Mar 5.3255  58182.326  23.16 V 17.10   0.05 LOAO 1.0m         Y
Mar 5.3283  58182.328  23.17 R 16.60   0.04 LOAO 1.0m         Y
Mar 5.3310  58182.331  23.17 I 16.46   0.03 LOAO 1.0m         Y
Mar 6.3150  58183.315  24.15 V 17.13   0.05 LOAO 1.0m         Y
Mar 6.3177  58183.318  24.16 R 16.63   0.04 LOAO 1.0m         Y
Mar 6.3204  58183.320  24.16 I 16.43   0.03 LOAO 1.0m         Y
Mar 7.3252  58184.325  25.16 V 17.17   0.06 LOAO 1.0m         Y
Mar 7.3279  58184.328  25.17 R 16.67   0.03 LOAO 1.0m         Y
Mar 7.3306  58184.331  25.17 I 16.50   0.03 LOAO 1.0m         Y
Mar 8.3090  58185.309  26.15 I 16.43   0.03 LOAO 1.0m         Y
Mar 8.5840  58185.584  26.42 B 18.87   0.12 DOAO 1.0m         Y
Mar 8.5864  58185.586  26.43 V 17.28   0.04 DOAO 1.0m         Y
Mar 8.5888  58185.589  26.43 R 16.73   0.02 DOAO 1.0m         Y
Mar 8.6503  58185.650  26.49 g 18.29   0.10 LSGT 0.43m        Y
Mar 8.6570  58185.657  26.50 r 16.73   0.04 LSGT 0.43m        Y
Mar 9.2109  58186.211  27.05 V 17.25   0.06 LOAO 1.0m         Y
Mar 9.2136  58186.214  27.05 R 16.71   0.03 LOAO 1.0m         Y
Mar 9.3074  58186.307  27.15 R 16.65   0.03 LOAO 1.0m         Y
Mar 9.6502  58186.650  27.49 g 18.37   0.10 LSGT 0.43m        Y
Mar 9.6570  58186.657  27.50 r 16.74   0.03 LSGT 0.43m        Y
Mar 9.6638  58186.664  27.50 i 16.67   0.03 LSGT 0.43m        Y
Mar 10.5575 58187.558  28.40 B 18.99   0.07 DOAO 1.0m         Y
Mar 10.5599 58187.560  28.40 V 17.41   0.04 DOAO 1.0m         Y
Mar 10.5623 58187.562  28.40 R 16.82   0.02 DOAO 1.0m         Y
Mar 10.6509 58187.651  28.49 g 18.45   0.05 LSGT 0.43m        Y
Mar 10.6579 58187.658  28.50 r 16.81   0.02 LSGT 0.43m        Y
Mar 10.6649 58187.665  28.50 i 16.77   0.04 LSGT 0.43m        Y
Mar 11.5571 58188.557  29.40 B 19.06   0.09 DOAO 1.0m         Y
Mar 11.5595 58188.559  29.40 V 17.47   0.04 DOAO 1.0m         Y
Mar 11.6472 58188.647  29.49 g 18.54   0.04 LSGT 0.43m        Y
Mar 11.6544 58188.654  29.49 r 16.89   0.03 LSGT 0.43m        Y
Mar 11.6616 58188.662  29.50 i 16.78   0.04 LSGT 0.43m        Y
Mar 12.7017 58189.702  30.54 B 19.12   0.07 DOAO 1.0m         Y
Mar 12.7114 58189.711  30.55 V 17.56   0.04 DOAO 1.0m         Y
Mar 12.7211 58189.721  30.56 R 16.98   0.02 DOAO 1.0m         Y
Mar 13.5109 58190.511  31.35 V 17.58   0.04 DOAO 1.0m         Y
Mar 13.5133 58190.513  31.35 R 17.02   0.02 DOAO 1.0m         Y
Mar 14.5529 58191.553  32.39 g 18.69   0.06 LSGT 0.43m        Y
Mar 14.5609 58191.561  32.40 r 17.10   0.02 LSGT 0.43m        Y
Mar 14.5683 58191.568  32.41 i 16.97   0.04 LSGT 0.43m        Y
Mar 15.5125 58192.513  33.35 g 18.77   0.05 LSGT 0.43m        Y
Mar 15.5192 58192.519  33.36 r 17.20   0.02 LSGT 0.43m        Y
Mar 15.5259 58192.526  33.36 i 17.00   0.03 LSGT 0.43m        Y
Mar 16.3209 58193.321  34.16 V 17.80   0.06 LOAO 1.0m         Y
Mar 16.3244 58193.324  34.16 R 17.25   0.04 LOAO 1.0m         Y
Mar 16.3435 58193.343  34.18 R 17.24   0.04 McD 0.8m          Y
Mar 16.5125 58193.512  34.35 g 18.70   0.05 LSGT 0.43m        Y
Mar 16.5192 58193.519  34.36 r 17.27   0.02 LSGT 0.43m        Y
Mar 16.5259 58193.526  34.36 i 17.14   0.04 LSGT 0.43m        Y
Mar 16.5919 58193.592  34.43 B 19.46   0.10 DOAO 1.0m         Y
Mar 16.5943 58193.594  34.43 V 17.79   0.04 DOAO 1.0m         Y
Mar 16.5967 58193.597  34.44 R 17.26   0.02 DOAO 1.0m         Y
Mar 16.9177 58193.918  34.76 B 19.26   0.22 MAO 1.5m (FLI)    Y
Mar 16.9185 58193.918  34.76 R 17.28   0.03 MAO 1.5m (FLI)    Y
Mar 17.3442 58194.344  35.18 R 17.29   0.03 LOAO 1.0m         Y
Mar 17.3468 58194.347  35.19 I 17.04   0.04 LOAO 1.0m         Y
Mar 17.5124 58194.512  35.35 g 18.80   0.05 LSGT 0.43m        Y
Mar 17.5192 58194.519  35.36 r 17.32   0.02 LSGT 0.43m        Y
Mar 17.5206 58194.521  35.36 B 19.51   0.10 DOAO 1.0m         Y
Mar 17.5230 58194.523  35.36 V 17.89   0.04 DOAO 1.0m         Y
Mar 17.5254 58194.525  35.36 R 17.32   0.02 DOAO 1.0m         Y
Mar 17.5259 58194.526  35.36 i 17.24   0.03 LSGT 0.43m        Y
Mar 18.2688 58195.269  36.11 R 17.32   0.03 LOAO 1.0m         Y
Mar 18.5161 58195.516  36.36 g 19.01   0.07 LSGT 0.43m        Y
Mar 18.5232 58195.523  36.36 r 17.36   0.02 LSGT 0.43m        Y
Mar 18.5302 58195.530  36.37 i 17.25   0.03 LSGT 0.43m        Y
Mar 19.2663 58196.266  37.11 R 17.48   0.03 LOAO 1.0m         Y
Mar 19.2690 58196.269  37.11 I 17.24   0.04 LOAO 1.0m         Y
Mar 19.3773 58196.377  37.22 R 17.35   0.04 McD 0.8m          Y
Mar 19.5148 58196.515  37.35 g 18.98   0.05 LSGT 0.43m        Y
Mar 19.5220 58196.522  37.36 r 17.41   0.03 LSGT 0.43m        Y
Mar 19.5293 58196.529  37.37 i 17.33   0.04 LSGT 0.43m        Y
Mar 20.2569 58197.257  38.10 V 18.13   0.05 LOAO 1.0m         Y
Mar 20.2596 58197.260  38.10 R 17.47   0.03 LOAO 1.0m         Y
Mar 20.5186 58197.519  38.36 g 18.98   0.06 LSGT 0.43m        Y
Mar 20.5266 58197.527  38.37 r 17.47   0.03 LSGT 0.43m        Y
Mar 20.5342 58197.534  38.37 i 17.38   0.04 LSGT 0.43m        Y
Mar 21.2401 58198.240  39.08 V 18.03   0.05 LOAO 1.0m         Y
Mar 21.2428 58198.243  39.08 R 17.50   0.03 LOAO 1.0m         Y
Mar 22.2361 58199.236  40.08 V 18.03   0.05 LOAO 1.0m         Y
Mar 22.2428 58199.243  40.08 R 17.53   0.02 LOAO 1.0m         Y
Mar 22.2462 58199.246  40.09 I 17.28   0.03 LOAO 1.0m         Y
Mar 22.4904 58199.490  40.33 B 19.42   0.12 DOAO 1.0m         Y
Mar 22.4928 58199.493  40.33 V 18.04   0.05 DOAO 1.0m         Y
Mar 22.4952 58199.495  40.33 R 17.53   0.02 DOAO 1.0m         Y
Mar 22.5929 58199.593  40.43 V 18.05   0.05 DOAO 1.0m         Y
Mar 22.5953 58199.595  40.43 R 17.55   0.03 DOAO 1.0m         Y
Mar 23.2075 58200.208  41.05 V 17.98   0.09 LOAO 1.0m         Y
Mar 23.2114 58200.211  41.05 R 17.49   0.05 LOAO 1.0m         Y
Mar 23.3188 58200.319  41.16 R 17.52   0.04 McD 0.8m          Y
Mar 23.4904 58200.490  41.33 B 19.57   0.13 DOAO 1.0m         Y
Mar 23.4927 58200.493  41.33 V 18.05   0.05 DOAO 1.0m         Y
Mar 23.4951 58200.495  41.33 R 17.58   0.03 DOAO 1.0m         Y
Mar 24.3181 58201.318  42.16 R 17.58   0.05 McD 0.8m          Y
Mar 24.4195 58201.420  42.26 V 18.20   0.07 LOAO 1.0m         Y
Mar 24.4236 58201.424  42.26 R 17.59   0.05 LOAO 1.0m         Y
Mar 24.4965 58201.497  42.34 R 17.59   0.06 DOAO 1.0m         Y
Mar 25.5211 58202.521  43.36 V 18.21   0.07 DOAO 1.0m         Y
Mar 25.5235 58202.524  43.36 R 17.62   0.04 DOAO 1.0m         Y
Mar 26.5196 58203.520  44.36 V 18.14   0.10 DOAO 1.0m         Y
Mar 26.5220 58203.522  44.36 R 17.66   0.05 DOAO 1.0m         Y
Mar 26.5221 58203.522  44.36 r 17.65   0.08 LSGT 0.43m        Y
Mar 27.2729 58204.273  45.11 V 18.11   0.09 LOAO 1.0m         Y
Mar 27.2756 58204.276  45.11 R 17.65   0.06 LOAO 1.0m         Y
Mar 27.2783 58204.278  45.12 I 17.60   0.06 LOAO 1.0m         Y
Mar 27.4670 58204.467  45.31 V 18.10   0.19 DOAO 1.0m         Y
Mar 28.4139 58205.414  46.25 I 17.60   0.21 LOAO 1.0m         Y
Mar 31.2906 58208.291  49.13 R 17.81   0.11 McD 0.8m          Y
Apr 2.4024  58210.402  51.24 V 18.56   0.15 LOAO 1.0m         Y
Apr 4.2131  58212.213  53.05 R 17.91   0.03 LOAO 1.0m         Y
Apr 4.2525  58212.253  53.09 V 18.41   0.07 LOAO 1.0m         Y
Apr 4.2552  58212.255  53.09 R 18.02   0.04 LOAO 1.0m         Y
Apr 4.2579  58212.258  53.10 I 17.80   0.04 LOAO 1.0m         Y
Apr 4.7898  58212.790  53.63 B 19.86   0.10 MAO 1.5m (SNUCAM) Y
Apr 4.7920  58212.792  53.63 R 18.01   0.01 MAO 1.5m (SNUCAM) Y
Apr 5.1858  58213.186  54.02 V 18.27   0.06 LOAO 1.0m         Y
Apr 5.1886  58213.189  54.03 R 17.94   0.04 LOAO 1.0m         Y
Apr 5.5584  58213.558  54.40 r 18.00   0.04 LSGT 0.43m        Y
Apr 5.5651  58213.565  54.40 i 18.10   0.08 LSGT 0.43m        Y
Apr 6.5517  58214.552  55.39 g 19.46   0.15 LSGT 0.43m        Y
Apr 6.5583  58214.558  55.40 r 18.07   0.04 LSGT 0.43m        Y
Apr 6.5650  58214.565  55.40 i 18.17   0.08 LSGT 0.43m        Y
Apr 7.5590  58215.559  56.40 r 18.01   0.05 LSGT 0.43m        Y
Apr 7.5657  58215.566  56.40 i 18.10   0.09 LSGT 0.43m        Y
Apr 8.2519  58216.252  57.09 R 17.98   0.06 McD 0.8m          Y
Apr 8.2653  58216.265  57.10 B 19.66 -99.00 McD 0.8m          N
Apr 8.5549  58216.555  57.39 g 19.39   0.13 LSGT 0.43m        Y
Apr 8.5618  58216.562  57.40 r 18.02   0.04 LSGT 0.43m        Y
Apr 8.5688  58216.569  57.41 i 18.21   0.09 LSGT 0.43m        Y
Apr 9.1953  58217.195  58.03 R 18.07   0.06 McD 0.8m          Y
Apr 9.5579  58217.558  58.40 r 18.13   0.04 LSGT 0.43m        Y
Apr 9.5645  58217.565  58.40 i 18.31   0.10 LSGT 0.43m        Y
Apr 10.1438 58218.144  58.98 V 18.49   0.06 LOAO 1.0m         Y
Apr 10.1465 58218.147  58.99 R 18.09   0.04 LOAO 1.0m         Y
